Date,Open,High,Low,Close,Change(Pips),Change(%),
06/08/2023 13:00,174.019,174.26,173.94,173.962,-5.7,-0.03,
06/08/2023 12:00,174.134,174.251,173.925,174.023,-11.1,-0.06,
06/08/2023 11:00,174.246,174.283,174.09,174.11,-13.6,-0.08,
06/08/2023 10:00,174.176,174.298,174.09,174.237,6.1,0.04,
06/08/2023 09:00,174.357,174.41,174.10247,174.173,-18.4,-0.11,
06/08/2023 08:00,174.051,174.365,174.01,174.358,30.7,0.18,
06/08/2023 07:00,174.094,174.238,173.99,174.052,-4.2,-0.02,
06/08/2023 06:00,174.013,174.199,174.0,174.078,6.5,0.04,
06/08/2023 05:00,174.006,174.184,173.91,174.012,0.6,0.00,
06/08/2023 04:00,174.036,174.055,173.87,174.003,-3.3,-0.02,
06/08/2023 03:00,174.121,174.18519,174.01,174.01,-11.1,-0.06,
06/08/2023 02:00,174.152,174.21721,174.08,174.122,-3.0,-0.02,
06/08/2023 01:00,174.19,174.367,174.11,174.154,-3.6,-0.02,
06/08/2023 00:00,174.109,174.294,174.04,174.188,7.9,0.05,
06/07/2023 23:00,174.127,174.202,174.03,174.109,-1.8,-0.01,
06/07/2023 22:00,174.265,174.409,174.1,174.126,-13.9,-0.08,
06/07/2023 21:00,174.3,174.34,173.94644,174.303,0.3,0.00,
06/07/2023 20:00,174.311,174.37102,174.26,174.3,-1.1,-0.01,
06/07/2023 19:00,174.303,174.396,174.22,174.313,1.0,0.01,
06/07/2023 18:00,174.312,174.43666,174.25,174.314,0.2,0.00,
06/07/2023 17:00,174.298,174.347,174.13,174.28,-1.8,-0.01,
06/07/2023 16:00,174.246,174.341,174.15,174.307,6.1,0.03,
06/07/2023 15:00,174.113,174.36,174.08,174.243,13.0,0.07,
06/07/2023 14:00,173.788,174.262,173.765,174.096,30.8,0.18,
06/07/2023 13:00,173.934,174.003,173.65,173.788,-14.6,-0.08,
06/07/2023 12:00,173.801,173.944,173.72,173.934,13.3,0.08,
06/07/2023 11:00,173.592,173.814,173.46,173.812,22.0,0.13,
06/07/2023 10:00,173.358,173.652,173.31,173.59,23.2,0.13,
06/07/2023 09:00,173.346,173.401,173.12,173.361,1.5,0.01,
06/07/2023 08:00,173.056,173.37,173.0,173.361,30.5,0.18,
06/07/2023 07:00,172.745,173.075,172.64,173.053,30.8,0.18,
06/07/2023 06:00,172.798,172.907,172.69,172.7,-9.8,-0.06,
06/07/2023 05:00,172.992,173.038,172.761,172.798,-19.4,-0.11,
